timestamp,total_tagged,"","Bad","Barclays","Deutsche Bank","HSBC","Hot","Interesting","Junk","Non-Responsive","Not Hot","Societe Generale","The Bank of Nova Scotia","Warm"
2019-10-03 00:00:00 CDT,2721,0,0,320,210,218,0,0,0,1543,0,204,210,16
2019-10-02 00:00:00 CDT,215220,0,1,2920,2234,2186,1,0,0,202518,0,2212,3132,16
2019-10-01 00:00:00 CDT,22,0,1,0,0,0,1,0,0,0,0,0,0,20
2019-09-30 00:00:00 CDT,21,0,0,0,0,0,3,0,0,0,0,0,0,18
2019-09-29 00:00:00 CDT,3,0,0,0,0,0,0,0,0,0,0,0,0,3
2019-09-28 00:00:00 CDT,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2019-09-27 00:00:00 CDT,26,0,0,0,0,0,1,0,0,0,0,0,0,25
2019-09-26 00:00:00 CDT,26,0,0,0,0,0,7,0,0,0,0,0,0,19
2019-09-25 00:00:00 CDT,14,0,1,0,0,0,1,0,0,0,0,0,0,12
2019-09-24 00:00:00 CDT,16,0,0,0,0,0,2,0,0,0,0,0,0,14
2019-09-23 00:00:00 CDT,31,0,0,0,0,0,2,0,0,0,0,0,0,29
2019-09-22 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-21 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-20 00:00:00 CDT,35,0,1,0,0,0,5,0,0,0,0,0,0,29
2019-09-19 00:00:00 CDT,26,0,0,0,0,0,4,0,0,0,0,0,0,22
2019-09-18 00:00:00 CDT,6,0,0,0,0,0,0,0,0,0,0,0,0,6
2019-09-17 00:00:00 CDT,16,0,2,0,0,0,0,0,0,0,0,0,0,14
2019-09-16 00:00:00 CDT,33,0,0,0,0,0,6,0,0,0,0,0,0,27
2019-09-15 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-14 00:00:00 CDT,2,0,0,0,0,0,1,0,0,0,0,0,0,1
2019-09-13 00:00:00 CDT,29,0,0,0,0,0,0,0,0,0,0,0,0,29
2019-09-12 00:00:00 CDT,46,0,1,0,0,0,2,0,0,0,0,0,0,43
2019-09-11 00:00:00 CDT,26,0,0,0,0,0,2,0,0,0,0,0,0,24
2019-09-10 00:00:00 CDT,51,0,0,0,0,0,1,0,0,0,0,0,0,50
2019-09-09 00:00:00 CDT,34,0,0,0,0,0,1,0,0,0,0,0,0,33
2019-09-08 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-07 00:00:00 CDT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-06 00:00:00 CDT,379,0,2,0,0,0,3,0,0,0,0,0,0,374
2019-09-05 00:00:00 CDT,162,0,1,0,0,0,5,0,0,0,0,0,0,156
2019-09-04 00:00:00 CDT,76,0,0,0,0,0,5,0,0,0,0,0,0,71
2019-09-03 00:00:00 CDT,8742,0,5,0,0,0,1220,0,0,0,7190,0,0,327
2019-07-02 00:00:00 CDT,16,16,0,0,0,0,0,0,0,0,0,0,0,0